Date,Open,High,Low,Close,Volume
2025-08-19,4860.0,4870.0,4780.0,4800.0,116454000
2025-08-20,4790.0,4950.0,4780.0,4950.0,144622900
2025-08-21,4950.0,4950.0,4860.0,4900.0,132019200
2025-08-22,4920.0,4920.0,4870.0,4890.0,73104500
2025-08-25,4950.0,4980.0,4920.0,4950.0,149580800
2025-08-26,4950.0,4950.0,4860.0,4900.0,308891700
2025-08-27,4840.0,4880.0,4800.0,4800.0,113576300
2025-08-28,4790.0,4850.0,4770.0,4770.0,111707400
2025-08-29,4720.0,4750.0,4660.0,4730.0,176485100
2025-09-01,4550.0,4670.0,4460.0,4600.0,320335300
2025-09-02,4610.0,4670.0,4560.0,4570.0,150045600
2025-09-03,4620.0,4660.0,4570.0,4620.0,131617900
2025-09-04,4630.0,4680.0,4620.0,4680.0,88735300
2025-09-08,4750.0,4750.0,4460.0,4490.0,200234500
2025-09-09,4450.0,4480.0,4310.0,4310.0,509366600
2025-09-10,4360.0,4420.0,4350.0,4400.0,293494200
2025-09-11,4480.0,4540.0,4450.0,4480.0,366697800
2025-09-12,4500.0,4550.0,4480.0,4520.0,216960200
2025-09-15,4550.0,4640.0,4520.0,4530.0,231346000
2025-09-16,4570.0,4570.0,4460.0,4480.0,122027400
2025-09-17,4480.0,4520.0,4440.0,4510.0,232702500
2025-09-18,4540.0,4550.0,4420.0,4420.0,177560100
2025-09-19,4350.0,4420.0,4330.0,4380.0,235975900
2025-09-22,4410.0,4420.0,4360.0,4420.0,107176100
2025-09-23,4390.0,4430.0,4370.0,4410.0,90675500
2025-09-24,4410.0,4430.0,4390.0,4390.0,85439100
2025-09-25,4400.0,4410.0,4360.0,4360.0,73946900
2025-09-26,4350.0,4430.0,4350.0,4420.0,86572900
2025-09-29,4420.0,4430.0,4400.0,4400.0,63753600
2025-09-30,4420.0,4450.0,4380.0,4400.0,108639600
2025-10-01,4360.0,4400.0,4350.0,4380.0,92265100
2025-10-02,4410.0,4440.0,4360.0,4360.0,93387400
2025-10-03,4370.0,4380.0,4300.0,4310.0,102459100
2025-10-06,4320.0,4330.0,4260.0,4260.0,96040500
2025-10-07,4260.0,4320.0,4250.0,4290.0,100237500
2025-10-08,4280.0,4290.0,4210.0,4250.0,97466800
2025-10-09,4240.0,4450.0,4200.0,4390.0,183242600
2025-10-10,4410.0,4420.0,4250.0,4250.0,139911200
