Date,Open,High,Low,Close,Volume
2025-08-19,3260.0,3330.0,3240.0,3250.0,164921000
2025-08-20,3220.0,3290.0,3220.0,3220.0,80084600
2025-08-21,3210.0,3270.0,3210.0,3250.0,63861900
2025-08-22,3270.0,3290.0,3220.0,3240.0,61351700
2025-08-25,3280.0,3350.0,3250.0,3310.0,93221500
2025-08-26,3310.0,3320.0,3230.0,3260.0,227364800
2025-08-27,3200.0,3250.0,3100.0,3170.0,118158900
2025-08-28,3160.0,3220.0,3150.0,3180.0,55940600
2025-08-29,3180.0,3210.0,3100.0,3130.0,72585500
2025-09-01,3080.0,3110.0,2960.0,3110.0,130027900
2025-09-02,3120.0,3140.0,3050.0,3070.0,64402900
2025-09-03,3080.0,3170.0,3070.0,3110.0,113875700
2025-09-04,3090.0,3170.0,3090.0,3150.0,37223800
2025-09-08,3300.0,3300.0,3090.0,3090.0,93725000
2025-09-09,3100.0,3130.0,3000.0,3050.0,104463400
2025-09-10,3070.0,3180.0,3050.0,3150.0,49840200
2025-09-11,3180.0,3190.0,3070.0,3080.0,71919900
2025-09-12,3090.0,3110.0,3050.0,3100.0,61521400
2025-09-15,3150.0,3260.0,3130.0,3260.0,115361300
2025-09-16,3300.0,3300.0,3260.0,3300.0,80642900
2025-09-17,3300.0,3340.0,3210.0,3340.0,73539700
2025-09-18,3400.0,3400.0,3230.0,3250.0,99501600
2025-09-19,3210.0,3300.0,3160.0,3230.0,113834400
2025-09-22,3300.0,3300.0,3190.0,3220.0,53704700
2025-09-23,3240.0,3260.0,3130.0,3190.0,40100300
2025-09-24,3190.0,3190.0,3150.0,3160.0,37086500
2025-09-25,3160.0,3200.0,3110.0,3120.0,37627500
2025-09-26,3100.0,3160.0,3090.0,3110.0,66789300
2025-09-29,3110.0,3130.0,3050.0,3080.0,85911300
2025-09-30,3090.0,3140.0,3060.0,3060.0,117025800
2025-10-01,3060.0,3100.0,3060.0,3060.0,59779700
2025-10-02,3070.0,3200.0,3060.0,3130.0,113431700
2025-10-03,3110.0,3130.0,3050.0,3070.0,59116700
2025-10-06,3080.0,3090.0,2960.0,3010.0,59707600
2025-10-07,3030.0,3050.0,3000.0,3010.0,30353000
2025-10-08,3030.0,3040.0,2940.0,2990.0,66090700
2025-10-09,2950.0,3020.0,2950.0,3010.0,54769300
2025-10-10,3030.0,3080.0,3000.0,3040.0,62254500
2025-10-13,3020.0,3070.0,2980.0,3020.0,46978500
2025-10-14,3050.0,3070.0,2960.0,2960.0,38518800
2025-10-15,3000.0,3090.0,2950.0,3080.0,67503700
2025-10-16,2970.0,3020.0,2900.0,2950.0,103687000
2025-10-17,2950.0,2960.0,2850.0,2880.0,82482200
2025-10-20,2930.0,2970.0,2900.0,2940.0,96029300
2025-10-21,2970.0,3290.0,2970.0,3280.0,223104600
2025-10-22,3220.0,3220.0,3120.0,3150.0,128796800
